,line_id,name,shortName,mode,networkId,impactedObjects,file_lastUpdatedDate
0,line:IDFM:C01423,1,1,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C01423', 'name': '1', 'type': 'line'}]",2024-12-06T13:50:22.638Z
1,line:IDFM:C01426,2,2,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C01426', 'name': '2', 'type': 'line'}]",2024-12-06T13:50:22.638Z
2,line:IDFM:C02129,3,3,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02129', 'name': '3', 'type': 'line'}]",2024-12-06T13:50:22.638Z
3,line:IDFM:C02130,3s,3s,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02130', 'name': '3s', 'type': 'line'}]",2024-12-06T13:50:22.638Z
4,line:IDFM:C02137,4,4,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02137', 'name': '4', 'type': 'line'}]",2024-12-06T13:50:22.638Z
5,line:IDFM:C02138,4s,4s,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02138', 'name': '4s', 'type': 'line'}]",2024-12-06T13:50:22.638Z
6,line:IDFM:C01427,5,5,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C01427', 'name': '5', 'type': 'line'}]",2024-12-06T13:50:22.638Z
7,line:IDFM:C02131,6,6,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02131', 'name': '6', 'type': 'line'}]",2024-12-06T13:50:22.638Z
8,line:IDFM:C02136,7,7,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02136', 'name': '7', 'type': 'line'}]",2024-12-06T13:50:22.638Z
9,line:IDFM:C02135,7s,7s,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02135', 'name': '7s', 'type': 'line'}]",2024-12-06T13:50:22.638Z
10,line:IDFM:C01717,8,8,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C01717', 'name': '8', 'type': 'line'}]",2024-12-06T13:50:22.638Z
11,line:IDFM:C02139,8s,8s,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02139', 'name': '8s', 'type': 'line'}]",2024-12-06T13:50:22.638Z
12,line:IDFM:C02133,9,9,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02133', 'name': '9', 'type': 'line'}]",2024-12-06T13:50:22.638Z
13,line:IDFM:C02132,9s,9s,Bus,network:IDFM:6,"[{'disruptionIds': ['5fb9cdec-ae55-11ef-90f2-0a58a9feac02'], 'id': 'line:IDFM:C02132', 'name': '9s', 'type': 'line'}]",2024-12-06T13:50:22.638Z
14,line:IDFM:C00294,2,2,Bus,network:IDFM:1054,"[{'disruptionIds': ['8904c1d8-aebf-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C00294', 'name': '2', 'type': 'line'}, {'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:8530', 'name': 'Léon Feix', 'type': 'stop_point'}, {'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:7574', 'name': 'Hôtel de Ville', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
15,line:IDFM:C00295,4,4,Bus,network:IDFM:1054,"[{'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:8530', 'name': 'Léon Feix', 'type': 'stop_point'}, {'disruptionIds': ['4635dd9e-b2eb-11ef-845d-0a58a9feac02'], 'id': 'stop_point:IDFM:7574', 'name': 'Hôtel de Ville', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
16,line:IDFM:C00308,6,6,Bus,network:IDFM:1054,"[{'disruptionIds': ['8904c1d8-aebf-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C00308', 'name': '6', 'type': 'line'}]",2024-12-06T13:50:22.638Z
